full_test,params,train_data_set,psearch,test_mean,gd_type,reach_dist,emb_dim,num_bases,lr,num_workers,val_mean,val_std,val_method,JK,dropout,l2,gd_deg,fold,eval_batch_size,batch_size,exp_dir,neg_sample,num_epochs,full_val,mol_emb_dim,metric,test_std,num_layers,data_path
"{'val_loss': 0.08304055035114288, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7401685393258427, 'h3': 0.5140449438202247, 'h1': 0.37008426966292135, 'mrr': 0.4854597786344772}","[['num_layers', 3]]",fb237_v4,True,0.7401685393258427,HorGD,3,32,4,0.0001,20,0.739406779661017,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:18:06.032854,50,100,"{'val_loss': 0.08329271525144577, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.739406779661017, 'h3': 0.5112994350282486, 'h1': 0.3651129943502825, 'mrr': 0.4807977216266514}",32,h10,0.0,2,./data
"{'test_loss': [0.7121635675430298, 1.4879910945892334, 0.6772485971450806, 1.0060491561889648, 0.9920661449432373, 0.9145668745040894, 1.5104501247406006, 0.7463304400444031, 0.8773372173309326, 0.5921465158462524], 'acc': [0.6571428571428571, 0.5428571428571428, 0.6285714285714286, 0.5714285714285714, 0.5714285714285714, 0.4857142857142857, 0.5428571428571428, 0.5142857142857142, 0.6, 0.5142857142857142]}","[['num_layers', 2], ['gd_deg', False]]",PTC_MR,True,0.5628571428571428,VerGD,3,32,,0.001,20,0.78,0.022314999074019022,,last,0,0,True,10,32,32,./saved_exp/2023-10-25 22:19:00.004488,,100,"{'val_loss': [0.4494747221469879, 0.6031902432441711, 0.4422479569911957, 0.4837493896484375, 0.514922559261322, 0.4705770015716553, 0.579200267791748, 0.448546439409256, 0.5674351453781128, 0.6132941246032715], 'acc': [0.8, 0.8285714285714286, 0.7714285714285715, 0.7714285714285715, 0.8, 0.7714285714285715, 0.7714285714285715, 0.7714285714285715, 0.7714285714285715, 0.7428571428571429]}",32,acc,0.05118992247762549,5,./data
"{'val_loss': 0.08988959342241287, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7322314049586777, 'h3': 0.6495867768595042, 'h1': 0.48760330578512395, 'mrr': 0.5868617546223217}","[['num_layers', 5]]",WN18RR_v3,True,0.7322314049586777,VerGD,3,32,4,0.0001,20,0.7657992565055762,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 17:09:47.702575,50,100,"{'val_loss': 0.09684861451387405, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7657992565055762, 'h3': 0.6449814126394052, 'h1': 0.5037174721189591, 'mrr': 0.5998244967446901}",32,h10,0.0,2,./data
"{'val_loss': 0.09347014874219894, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7491329479768786, 'h3': 0.4867052023121387, 'h1': 0.3109826589595376, 'mrr': 0.4466913440148287}","[['num_layers', 3]]",fb237_v3,True,0.7491329479768786,HorGD,3,32,4,0.0001,20,0.6974595842956121,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 13:00:48.352848,50,100,"{'val_loss': 0.0942409411072731, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6974595842956121, 'h3': 0.4676674364896074, 'h1': 0.2748267898383372, 'mrr': 0.41285847184403285}",32,h10,0.0,2,./data
"{'test_loss': [0.8088644742965698, 0.8783205151557922, 0.9104472994804382, 0.9583495259284973, 0.9379081726074219, 0.9627589583396912, 0.8094385862350464, 0.8543292284011841, 0.7637197375297546, 0.7650379538536072], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}","[['num_layers', 3]]",csl,False,0.6466666666666667,VerGD,3,32,,0.001,20,0.6466666666666667,0.030550504633038926,,last,0,0,False,10,16,16,./saved_exp/2023-10-24 12:28:48.860547,,100,"{'val_loss': [0.8088644742965698, 0.8783205151557922, 0.9104472994804382, 0.9583495259284973, 0.9379081726074219, 0.9627589583396912, 0.8094385862350464, 0.8543292284011841, 0.7637197375297546, 0.7650379538536072], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",32,acc,0.030550504633038926,3,./data
"{'val_loss': 0.37667807936668396, 'apr': 0.9253082482280434, 'auc': 0.9041898904478185, 'h50': 0.7610993657505285}","[['num_layers', 4]]",citeseer,True,0.9041898904478185,VerGD,3,32,,0.0001,20,0.9073154230981503,0.0,,last,0,0,False,10,64,64,./saved_exp/2023-10-25 22:10:46.852310,,100,"{'val_loss': 0.3694475293159485, 'apr': 0.9274454461632095, 'auc': 0.9073154230981503, 'h50': 0.8565400843881856}",32,auc,0.0,2,./data
"{'val_loss': [0.7707536816596985, 0.9711595177650452], 'acc': [0.7857142857142857, 0.7857142857142857]}","[['num_layers', 2]]",brazil_airport,True,0.7857142857142857,VerGD,3,32,,0.0001,20,0.9230769230769231,0.0,,last,0,0,True,10,64,64,./saved_exp/2023-10-26 11:53:34.275475,,200,"{'val_loss': [0.599583625793457, 0.5529056787490845], 'acc': [0.9230769230769231, 0.9230769230769231]}",32,acc,0.0,2,./data
"{'val_loss': 0.09274973720312119, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7109826589595376, 'h3': 0.4982658959537572, 'h1': 0.3838150289017341, 'mrr': 0.48248648140611095}","[['num_layers', 3]]",fb237_v3,True,0.7109826589595376,VerGD,3,32,4,0.0001,20,0.6766743648960739,0.0,ind,last,0,0,False,10,64,64,./saved_exp/2023-10-26 15:51:24.168272,50,100,"{'val_loss': 0.0948697105050087, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6766743648960739, 'h3': 0.45496535796766746, 'h1': 0.33140877598152424, 'mrr': 0.43790555289659827}",32,h10,0.0,2,./data
"{'test_loss': [0.7604045271873474, 0.7706132531166077, 0.7637270092964172, 0.9171726107597351, 0.8755623698234558, 0.796712338924408, 0.7992674112319946, 0.7541977167129517, 0.788969874382019, 0.7944852113723755], 'acc': [0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}","[['num_layers', 3]]",csl,False,0.6466666666666667,VerGD,3,32,,0.001,20,0.6466666666666667,0.030550504633038926,,last,0,0,True,10,16,16,./saved_exp/2023-10-24 18:04:04.265579,,100,"{'val_loss': [0.7604045271873474, 0.7706132531166077, 0.7637270092964172, 0.9171726107597351, 0.8755623698234558, 0.796712338924408, 0.7992674112319946, 0.7541977167129517, 0.788969874382019, 0.7944852113723755], 'acc': [0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",32,acc,0.030550504633038926,3,./data
"{'test_loss': 0.053422920405864716, 'auc': 0.8221065677665286, 'apr': 0.150944637950692}","[['num_layers', 5]]",ogbg-molpcba,True,0.150944637950692,HorGD,3,32,,0.0001,20,0.1711971002077592,0.0,,last,0,0,False,10,64,64,./saved_exp/2023-10-09 22:56:00.454044,,100,"{'val_loss': 0.0509207658469677, 'auc': 0.8278960828821711, 'apr': 0.1711971002077592}",32,apr,0.0,2,./data
