fold,val_std,num_bases,full_val,num_workers,lr,gd_type,params,batch_size,test_std,mol_emb_dim,val_mean,eval_batch_size,exp_dir,num_layers,data_path,emb_dim,psearch,test_mean,l2,metric,full_test,val_method,train_data_set,gd_deg,num_epochs,JK,dropout,neg_sample,reach_dist
10,0.0,4,"{'val_loss': 0.08329271525144577, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.739406779661017, 'h3': 0.5112994350282486, 'h1': 0.3651129943502825, 'mrr': 0.4807977216266514}",20,0.0001,HorGD,"[['num_layers', 3]]",64,0.0,32,0.739406779661017,64,./saved_exp/2023-10-26 13:18:06.032854,2,./data,32,True,0.7401685393258427,0,h10,"{'val_loss': 0.08304055035114288, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7401685393258427, 'h3': 0.5140449438202247, 'h1': 0.37008426966292135, 'mrr': 0.4854597786344772}",ind,fb237_v4,False,100,last,0,50,3
10,0.022314999074019022,,"{'val_loss': [0.4494747221469879, 0.6031902432441711, 0.4422479569911957, 0.4837493896484375, 0.514922559261322, 0.4705770015716553, 0.579200267791748, 0.448546439409256, 0.5674351453781128, 0.6132941246032715], 'acc': [0.8, 0.8285714285714286, 0.7714285714285715, 0.7714285714285715, 0.8, 0.7714285714285715, 0.7714285714285715, 0.7714285714285715, 0.7714285714285715, 0.7428571428571429]}",20,0.001,VerGD,"[['num_layers', 2], ['gd_deg', False]]",32,0.05118992247762549,32,0.78,32,./saved_exp/2023-10-25 22:19:00.004488,5,./data,32,True,0.5628571428571428,0,acc,"{'test_loss': [0.7121635675430298, 1.4879910945892334, 0.6772485971450806, 1.0060491561889648, 0.9920661449432373, 0.9145668745040894, 1.5104501247406006, 0.7463304400444031, 0.8773372173309326, 0.5921465158462524], 'acc': [0.6571428571428571, 0.5428571428571428, 0.6285714285714286, 0.5714285714285714, 0.5714285714285714, 0.4857142857142857, 0.5428571428571428, 0.5142857142857142, 0.6, 0.5142857142857142]}",,PTC_MR,True,100,last,0,,3
10,0.0,4,"{'val_loss': 0.0942409411072731, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6974595842956121, 'h3': 0.4676674364896074, 'h1': 0.2748267898383372, 'mrr': 0.41285847184403285}",20,0.0001,HorGD,"[['num_layers', 3]]",64,0.0,32,0.6974595842956121,64,./saved_exp/2023-10-26 13:00:48.352848,2,./data,32,True,0.7491329479768786,0,h10,"{'val_loss': 0.09347014874219894, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7491329479768786, 'h3': 0.4867052023121387, 'h1': 0.3109826589595376, 'mrr': 0.4466913440148287}",ind,fb237_v3,False,100,last,0,50,3
10,0.030550504633038926,,"{'val_loss': [0.8088644742965698, 0.8783205151557922, 0.9104472994804382, 0.9583495259284973, 0.9379081726074219, 0.9627589583396912, 0.8094385862350464, 0.8543292284011841, 0.7637197375297546, 0.7650379538536072], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",20,0.001,VerGD,"[['num_layers', 3]]",16,0.030550504633038926,32,0.6466666666666667,16,./saved_exp/2023-10-24 12:28:48.860547,3,./data,32,False,0.6466666666666667,0,acc,"{'test_loss': [0.8088644742965698, 0.8783205151557922, 0.9104472994804382, 0.9583495259284973, 0.9379081726074219, 0.9627589583396912, 0.8094385862350464, 0.8543292284011841, 0.7637197375297546, 0.7650379538536072], 'acc': [0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",,csl,False,100,last,0,,3
10,0.0,,"{'val_loss': 0.3694475293159485, 'apr': 0.9274454461632095, 'auc': 0.9073154230981503, 'h50': 0.8565400843881856}",20,0.0001,VerGD,"[['num_layers', 4]]",64,0.0,32,0.9073154230981503,64,./saved_exp/2023-10-25 22:10:46.852310,2,./data,32,True,0.9041898904478185,0,auc,"{'val_loss': 0.37667807936668396, 'apr': 0.9253082482280434, 'auc': 0.9041898904478185, 'h50': 0.7610993657505285}",,citeseer,False,100,last,0,,3
10,0.0,,"{'val_loss': [0.599583625793457, 0.5529056787490845], 'acc': [0.9230769230769231, 0.9230769230769231]}",20,0.0001,VerGD,"[['num_layers', 2]]",64,0.0,32,0.9230769230769231,64,./saved_exp/2023-10-26 11:53:34.275475,2,./data,32,True,0.7857142857142857,0,acc,"{'val_loss': [0.7707536816596985, 0.9711595177650452], 'acc': [0.7857142857142857, 0.7857142857142857]}",,brazil_airport,True,200,last,0,,3
10,0.030550504633038926,,"{'val_loss': [0.7604045271873474, 0.7706132531166077, 0.7637270092964172, 0.9171726107597351, 0.8755623698234558, 0.796712338924408, 0.7992674112319946, 0.7541977167129517, 0.788969874382019, 0.7944852113723755], 'acc': [0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",20,0.001,VerGD,"[['num_layers', 3]]",16,0.030550504633038926,32,0.6466666666666667,16,./saved_exp/2023-10-24 18:04:04.265579,3,./data,32,False,0.6466666666666667,0,acc,"{'test_loss': [0.7604045271873474, 0.7706132531166077, 0.7637270092964172, 0.9171726107597351, 0.8755623698234558, 0.796712338924408, 0.7992674112319946, 0.7541977167129517, 0.788969874382019, 0.7944852113723755], 'acc': [0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]}",,csl,True,100,last,0,,3
10,0.0,,"{'val_loss': 0.0509207658469677, 'auc': 0.8278960828821711, 'apr': 0.1711971002077592}",20,0.0001,HorGD,"[['num_layers', 5]]",64,0.0,32,0.1711971002077592,64,./saved_exp/2023-10-09 22:56:00.454044,2,./data,32,True,0.150944637950692,0,apr,"{'test_loss': 0.053422920405864716, 'auc': 0.8221065677665286, 'apr': 0.150944637950692}",,ogbg-molpcba,False,100,last,0,,3
10,0.0,4,"{'val_loss': 0.08110279589891434, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7040960451977402, 'h3': 0.5035310734463276, 'h1': 0.3721751412429379, 'mrr': 0.4777722307693906}",20,0.0001,VerGD,"[['num_layers', 5]]",64,0.0,32,0.7040960451977402,64,./saved_exp/2023-10-26 13:00:48.391720,2,./data,32,True,0.7148876404494382,0,h10,"{'val_loss': 0.08108461648225784, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7148876404494382, 'h3': 0.5056179775280899, 'h1': 0.35463483146067415, 'mrr': 0.47001402803905085}",ind,fb237_v4,False,100,last,0,50,3
10,0.0,4,"{'val_loss': 0.7538465261459351, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.6579925650557621, 'mrr': 0.828996282527881}",20,0.0001,VerGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-25 18:30:48.041323,2,./data,32,True,1.0,0,h10,"{'val_loss': 0.6939475536346436, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.6776859504132231, 'mrr': 0.8388429752066116}",ind,WN18RR_v3,False,100,last,0,1,3
10,0.0,,"{'val_loss': [0.016727259382605553, 0.05902700498700142, 0.04933138191699982, 0.04271869361400604, 0.05528205633163452, 0.04059024900197983, 0.010560226626694202, 0.032170530408620834, 0.01372447982430458, 0.017093224450945854], 'acc': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}",20,0.0001,VerGD,"[['num_layers', 3]]",64,0.0038188130791298527,32,1.0,64,./saved_exp/2023-10-24 18:04:04.233064,3,./data,32,False,0.9974999999999999,0,acc,"{'test_loss': [0.015554588288068771, 0.05619450658559799, 0.04223118722438812, 0.04476115107536316, 0.06261246651411057, 0.032988738268613815, 0.008458167314529419, 0.02939409390091896, 0.010679332539439201, 0.015344840474426746], 'acc': [1.0, 1.0, 0.9916666666666667, 1.0, 0.9916666666666667, 0.9916666666666667, 1.0, 1.0, 1.0, 1.0]}",,exp,True,100,last,0,,3
10,0.0,4,"{'val_loss': 0.10701986402273178, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6893203883495146, 'h3': 0.49029126213592233, 'h1': 0.3640776699029126, 'mrr': 0.4682206334347429}",20,0.0001,VerGD,"[['num_layers', 3]]",64,0.0,32,0.6893203883495146,64,./saved_exp/2023-10-26 12:06:09.919638,2,./data,32,True,0.6634146341463415,0,h10,"{'val_loss': 0.10592170804738998, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.6634146341463415, 'h3': 0.45365853658536587, 'h1': 0.32682926829268294, 'mrr': 0.43218734566155725}",ind,fb237_v1,False,100,last,0,50,3
10,5.551115123125783e-17,,"{'val_loss': [1.6969256401062012, 1.6789658069610596, 1.8960163593292236, 1.919477939605713, 1.7039214372634888, 1.71349036693573, 2.061330795288086, 1.6959444284439087, 1.7204737663269043, 1.7172203063964844], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}",20,0.001,VerGD,"[['num_layers', 2]]",16,5.551115123125783e-17,32,0.33333333333333337,16,./saved_exp/2023-10-24 18:04:04.278541,2,./data,32,False,0.33333333333333337,0,acc,"{'test_loss': [1.6969256401062012, 1.6789658069610596, 1.8960163593292236, 1.919477939605713, 1.7039214372634888, 1.71349036693573, 2.0613162517547607, 1.6959444284439087, 1.7204737663269043, 1.7172203063964844], 'acc': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}",,csl,True,100,last,0,,3
10,0.038461538461538436,,"{'val_loss': [0.6763983964920044, 0.5906780958175659], 'acc': [0.7692307692307693, 0.8461538461538461]}",20,0.0001,HorGD,"[['num_layers', 2]]",64,0.0357142857142857,32,0.8076923076923077,64,./saved_exp/2023-10-09 23:28:46.380375,2,./data,32,True,0.6785714285714286,0,acc,"{'val_loss': [0.9295853972434998, 0.7685920000076294], 'acc': [0.6428571428571429, 0.7142857142857143]}",,brazil_airport,False,200,last,0,,3
10,0.0,4,"{'val_loss': 0.09370945394039154, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7633262260127932, 'h3': 0.5159914712153518, 'h1': 0.302771855010661, 'mrr': 0.451188668450288}",20,0.0001,HorGD,"[['num_layers', 3]]",64,0.0,32,0.7633262260127932,64,./saved_exp/2023-10-26 12:59:11.397843,2,./data,32,True,0.7761506276150628,0,h10,"{'val_loss': 0.09323754161596298, 'h1000': 1.0, 'h100': 1.0, 'h10': 0.7761506276150628, 'h3': 0.5439330543933054, 'h1': 0.3514644351464435, 'mrr': 0.48786859379846137}",ind,fb237_v2,False,100,last,0,50,3
10,0.0,,"{'val_loss': [0.6258538365364075, 0.5986773371696472], 'acc': [0.9230769230769231, 0.9230769230769231]}",20,0.0001,VerGD,"[['num_layers', 2], ['train_data_set', 'brazil_airport'], ['gd_deg', True]]",64,0.0,32,0.9230769230769231,64,./saved_exp/2023-10-13 21:05:55.480775,2,./data,32,True,0.7857142857142857,0,acc,"{'val_loss': [0.7594371438026428, 0.9001460671424866], 'acc': [0.7857142857142857, 0.7857142857142857]}",,brazil_airport,False,200,last,0,,3
10,0.0,4,"{'val_loss': 1.0916261672973633, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.42574257425742573, 'mrr': 0.7128712871287128}",20,0.0001,VerGD,"[['num_layers', 2]]",64,0.0,32,1.0,64,./saved_exp/2023-10-25 18:31:56.658937,2,./data,32,True,1.0,0,h10,"{'val_loss': 1.0574862957000732, 'h1000': 1.0, 'h100': 1.0, 'h10': 1.0, 'h3': 1.0, 'h1': 0.53, 'mrr': 0.765}",ind,nell_v1,False,100,last,0,1,3
10,0.0,,"{'val_loss': 0.05073093995451927, 'auc': 0.8293190862169546, 'apr': 0.16426259696835424}",20,0.0001,VerGD,"[['num_layers', 2]]",64,0.0,32,0.16426259696835424,64,./saved_exp/2023-10-26 11:30:29.885946,2,./data,32,True,0.15660477857105526,0,apr,"{'test_loss': 0.053185462951660156, 'auc': 0.8262170934547409, 'apr': 0.15660477857105526}",,ogbg-molpcba,True,100,last,0,,3
